"Region"	"Species"
"ABT"	"NA"
"AFG"	"Nannorrhops ritchieana, Phoenix dactylifera"
"AGE"	"Acrocomia totai, Allagoptera campestris, Allagoptera leucocalyx, Butia eriospatha, Butia noblickii, Butia poni, Butia yatay, Copernicia alba, Euterpe edulis, Syagrus romanzoffiana, Trithrinax campestris, Trithrinax schizophylla"
"AGS"	"NA"
"AGW"	"Acrocomia totai, Trithrinax campestris, Trithrinax schizophylla"
"ALA"	"Rhapidophyllum hystrix, Sabal minor, Sabal palmetto, Serenoa repens"
"ALB"	"NA"
"ALD"	"NA"
"ALG"	"Chamaerops humilis, Phoenix canariensis, Phoenix dactylifera, Washingtonia robusta"
"ALT"	"NA"
"ALU"	"NA"
"AMU"	"NA"
"AND"	"Areca catechu, Areca triandra, Arenga pinnata, Calamus andamanicus, Calamus baratangensis, Calamus kurzianus, Calamus latifolius, Calamus longisetus, Calamus luteus, Calamus manii, Calamus rarispinosus, Calamus viminalis, Calamus wrightmyoensis, Caryota mitis, Caryota urens, Cocos nucifera, Corypha umbraculifera, Corypha utan, Dypsis lutescens, Elaeis guineensis, Korthalsia laciniosa, Korthalsia rogersii, Licuala paludosa, Licuala peltata, Licuala spinosa, Livistona chinensis, Nypa fruticans, Phoenix paludosa, Phoenix rupicola, Phoenix sylvestris, Pinanga andamanensis, Pinanga manii"
"ANG"	"Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha cuspidata, Hyphaene guineensis, Hyphaene petersiana, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia laurentii, Raphia regalis, Raphia textilis, Sclerosperma mannii, Sclerosperma profizianum"
"ANT"	"NA"
"ARI"	"Washingtonia filifera"
"ARK"	"Sabal minor"
"ARU"	"NA"
"ASC"	"Cocos nucifera"
"ASK"	"NA"
"ASP"	"NA"
"ASS"	"Areca triandra, Arenga pinnata, Arenga westerhoutii, Calamus acanthospathus, Calamus erectus, Calamus flagellum, Calamus floribundus, Calamus gracilis, Calamus guruba, Calamus inermis, Calamus jenkinsianus, Calamus kingianus, Calamus latifolius, Calamus leptospadix, Calamus longisetus, Calamus meghalayensis, Calamus tenuis, Calamus viminalis, Caryota maxima, Caryota obtusa, Caryota urens, Corypha utan, Licuala peltata, Livistona jenkinsiana, Myrialepis paradoxa, Phoenix acaulis, Phoenix loureiroi, Phoenix paludosa, Phoenix rupicola, Phoenix sylvestris, Pinanga gracilis, Pinanga griffithii, Pinanga hookeriana, Pinanga sylvestris, Plectocomia assamica, Plectocomia bractealis, Plectocomia himalayana, Plectocomia khasyana, Salacca secunda, Trachycarpus martianus, Trachycarpus ukhrulensis, Wallichia disticha, Wallichia nana, Wallichia oblongifolia"
"ATP"	"NA"
"AUT"	"NA"
"AZO"	"NA"
"BAH"	"Acoelorrhaphe wrightii, Coccothrinax argentata, Coccothrinax inaguensis, Cocos nucifera, Leucothrinax morrisii, Pseudophoenix sargentii, Roystonea regia, Sabal palmetto, Thrinax radiata"
"BAL"	"Chamaerops humilis"
"BAN"	"Areca catechu, Areca triandra, Arenga pinnata, Borassus flabellifer, Calamus arborescens, Calamus erectus, Calamus flagellum, Calamus floribundus, Calamus gracilis, Calamus guruba, Calamus inermis, Calamus jenkinsianus, Calamus latifolius, Calamus leptospadix, Calamus longisetus, Calamus tenuis, Calamus viminalis, Caryota maxima, Caryota mitis, Caryota urens, Cocos nucifera, Corypha taliera, Corypha umbraculifera, Elaeis guineensis, Licuala peltata, Licuala spinosa, Livistona jenkinsiana, Livistona speciosa, Nypa fruticans, Phoenix acaulis, Phoenix dactylifera, Phoenix loureiroi, Phoenix paludosa, Phoenix rupicola, Phoenix sylvestris, Pinanga gracilis, Pinanga hexasticha, Plectocomia himalayana, Trachycarpus martianus, Wallichia caryotoides, Wallichia disticha, Wallichia nana, Wallichia oblongifolia"
"BEN"	"Arenga pinnata, Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha macrocarpa, Hyphaene macrosperma, Hyphaene thebaica, Laccosperma opacum, Laccosperma secundiflorum, Oncocalamus wrightianus, Phoenix dactylifera, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia sudanica, Raphia vinifera"
"BER"	"Livistona chinensis, Phoenix canariensis, Phoenix reclinata, Sabal bermudana"
"BGM"	"NA"
"BIS"	"Areca catechu, Areca macrocalyx, Areca novohibernica, Calamus aruensis, Calamus longipinna, Calamus pachypus, Calamus vitiensis, Calyptrocalyx albertisianus, Caryota rumphiana, Clinostigma collegarum, Cocos nucifera, Cyrtostachys loriae, Elaeis guineensis, Heterospathe parviflora, Hydriastele costata, Hydriastele kasesa, Hydriastele manusii, Licuala peekelii, Metroxylon salomonense, Nypa fruticans, Physokentia avia, Ponapea hentyi, Ptychococcus paradoxus, Ptychosperma gracile, Rhopaloblaste gideonii"
"BKN"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Elaeis guineensis, Hyphaene thebaica, Phoenix reclinata, Raphia farinifera, Raphia sudanica"
"BLR"	"NA"
"BLT"	"NA"
"BLZ"	"Acoelorrhaphe wrightii, Acrocomia aculeata, Asterogyne martiana, Astrocaryum mexicanum, Attalea cohune, Bactris major, Bactris mexicana, Brahea dulcis, Calyptrogyne ghiesbreghtiana, Chamaedorea adscendens, Chamaedorea arenbergiana, Chamaedorea elegans, Chamaedorea ernesti-augusti, Chamaedorea geonomiformis, Chamaedorea neurochlamys, Chamaedorea oblongata, Chamaedorea pinnatifrons, Chamaedorea schippii, Chamaedorea seifrizii, Chamaedorea tepejilote, Chamaedorea woodsoniana, Coccothrinax readii, Cocos nucifera, Colpothrinax cookii, Cryosophila stauracantha, Desmoncus chinantlensis, Euterpe precatoria, Gaussia maya, Geonoma deversa, Geonoma interrupta, Geonoma pinnatifrons, Manicaria saccifera, Pseudophoenix sargentii, Reinhardtia gracilis, Reinhardtia latisecta, Roystonea regia, Sabal mauritiiformis, Sabal yapa, Schippia concolor, Synechanthus fibrosus, Thrinax radiata"
"BOL"	"Acrocomia totai, Aiphanes horrida, Aiphanes truncata, Allagoptera leucocalyx, Astrocaryum aculeatum, Astrocaryum arenarium, Astrocaryum chonta, Astrocaryum gratum, Astrocaryum huaimi, Astrocaryum jauari, Astrocaryum tucuma, Astrocaryum ulei, Attalea butyracea, Attalea eichleri, Attalea maripa, Attalea moorei, Attalea pacensis, Attalea phalerata, Attalea princeps, Attalea speciosa, Bactris acanthocarpa, Bactris brongniartii, Bactris chaveziae, Bactris concinna, Bactris corossilla, Bactris elegans, Bactris faucium, Bactris gasipaes, Bactris glaucescens, Bactris hirta, Bactris macroacantha, Bactris major, Bactris maraja, Bactris martiana, Bactris riparia, Bactris simplicifrons, Ceroxylon parvifrons, Ceroxylon pityrophyllum, Chamaedorea angustisecta, Chamaedorea linearis, Chamaedorea pauciflora, Chamaedorea pinnatifrons, Chelyocarpus chuco, Cocos nucifera, Copernicia alba, Desmoncus horridus, Desmoncus latisectus, Desmoncus mitis, Desmoncus polyacanthos, Dictyocaryum lamarckianum, Elaeis guineensis, Euterpe precatoria, Geonoma brongniartii, Geonoma deversa, Geonoma euspatha, Geonoma interrupta, Geonoma laxiflora, Geonoma leptospadix, Geonoma macrostachys, Geonoma maxima, Geonoma occidentalis, Geonoma orbignyana, Geonoma pohliana, Geonoma stricta, Geonoma undata, Hyospathe elegans, Iriartea deltoidea, Iriartella stenocarpa, Mauritia flexuosa, Mauritiella armata, Oenocarpus balickii, Oenocarpus bataua, Oenocarpus distichus, Oenocarpus mapora, Parajubaea sunkha, Parajubaea torallyi, Phoenix canariensis, Phoenix dactylifera, Phytelephas macrocarpa, Phytelephas tenuicaulis, Prestoea acuminata, Socratea exorrhiza, Socratea salazarii, Syagrus cardenasii, Syagrus comosa, Syagrus flexuosa, Syagrus oleracea, Syagrus petraea, Syagrus sancona, Syagrus yungasensis, Trithrinax schizophylla, Washingtonia filifera, Wendlandiella gracilis, Wettinia augusta"
"BOR"	"Adonidia dransfieldii, Adonidia merrillii, Areca abdulrahmanii, Areca ahmadii, Areca andersonii, Areca arundinacea, Areca bakeri, Areca brachypoda, Areca catechu, Areca chaiana, Areca churchii, Areca dayung, Areca dransfieldii, Areca furcata, Areca gurita, Areca insignis, Areca jugahpunya, Areca kinabaluensis, Areca klingkangensis, Areca minuta, Areca mogeana, Areca rheophytica, Areca subacaulis, Areca triandra, Areca vidaliana, Arenga brevipes, Arenga distincta, Arenga hastata, Arenga retroflorescens, Arenga undulatifolia, Borassodendron borneense, Calamus acamptostachys, Calamus acanthochlamys, Calamus ashtonii, Calamus asteracanthus, Calamus ater, Calamus axillaris, Calamus bacularis, Calamus banggiensis, Calamus billitonensis, Calamus caesius, Calamus collarifer, Calamus comptus, Calamus concolor, Calamus conirostris, Calamus conjugatus, Calamus conspectus, Calamus convallium, Calamus crassifolius, Calamus crinitus, Calamus cristatus, Calamus didymophyllus, Calamus diepenhorstii, Calamus divaricatus, Calamus draco, Calamus dumetosus, Calamus elongatus, Calamus erinaceus, Calamus erioacanthus, Calamus exilis, Calamus fissus, Calamus flabellatus, Calamus formicarius, Calamus gibbsianus, Calamus gonospermus, Calamus hallierianus, Calamus hirsutus, Calamus ingens, Calamus javensis, Calamus kiahii, Calamus korthalsii, Calamus lambirensis, Calamus leloi, Calamus lobbianus, Calamus longibracteatus, Calamus longipes, Calamus longistipes, Calamus maculatus, Calamus maiadum, Calamus malawaliensis, Calamus manan, Calamus marginatus, Calamus mattanensis, Calamus micracanthus, Calamus micranthus, Calamus microsphaerion, Calamus microstachys, Calamus mirabilis, Calamus moorei, Calamus moseleyanus, Calamus muricatus, Calamus myriacanthus, Calamus nanodendron, Calamus nematospadix, Calamus nielsenii, Calamus oblatus, Calamus optimus, Calamus ornatus, Calamus oxycoccus, Calamus pachyrostris, Calamus pandanosmus, Calamus paspalanthus, Calamus paulii, Calamus periacanthus, Calamus pilosellus, Calamus plicatus, Calamus poensis, Calamus pogonacanthus, Calamus pogonotium, Calamus psilocladus, Calamus pumilus, Calamus pygmaeus, Calamus rhomboideus, Calamus rhytidomus, Calamus ruptilis, Calamus ruvidus, Calamus sabalensis, Calamus sabensis, Calamus sabut, Calamus sarawakensis, Calamus scabridulus, Calamus scapigerus, Calamus schistoacanthus, Calamus scipionum, Calamus serpentinus, Calamus sordidus, Calamus sparsiflorus, Calamus spectatissimus, Calamus spinulinervis, Calamus subangulatus, Calamus tenompokensis, Calamus trachycoleus, Calamus unijugus, Calamus ursinus, Calamus usitatus, Calamus zonatus, Caryota mitis, Caryota no, Cocos nucifera, Corypha utan, Cyrtostachys renda, Eleiodoxa conferta, Eugeissona ambigua, Eugeissona insignis, Eugeissona minor, Eugeissona utilis, Iguanura ambigua, Iguanura borneensis, Iguanura chaiana, Iguanura curvata, Iguanura elegans, Iguanura macrostachya, Iguanura melinauensis, Iguanura minor, Iguanura myochodoides, Iguanura palmuncula, Iguanura prolifera, Iguanura remotiflora, Iguanura sanderiana, Johannesteijsmannia altifrons, Korthalsia angustifolia, Korthalsia cheb, Korthalsia concolor, Korthalsia debilis, Korthalsia echinometra, Korthalsia ferox, Korthalsia flagellaris, Korthalsia furcata, Korthalsia furtadoana, Korthalsia hispida, Korthalsia jala, Korthalsia paucijuga, Korthalsia rigida, Korthalsia robusta, Korthalsia rostrata, Licuala acuminata, Licuala atrovirens, Licuala bidentata, Licuala bintulensis, Licuala borneensis, Licuala bruneiana, Licuala burretii, Licuala campestris, Licuala chaiana, Licuala collina, Licuala cordata, Licuala densiflora, Licuala elliptica, Licuala exigua, Licuala flammula, Licuala glabra, Licuala hallieriana, Licuala intermedia, Licuala kuchingensis, Licuala lambii, Licuala lanata, Licuala leopoldii, Licuala leucocarpa, Licuala maculata, Licuala mattanensis, Licuala meijeri, Licuala micholitzii, Licuala miriensis, Licuala mukahensis, Licuala olivifera, Licuala oliviformis, Licuala orbicularis, Licuala oryzoides, Licuala paludosa, Licuala petiolulata, Licuala pilosa, Licuala pseudovalida, Licuala punctulata, Licuala reptans, Licuala rheophytica, Licuala rubiginosa, Licuala sabahana, Licuala sarawakensis, Licuala spathellifera, Licuala spicata, Licuala spinosa, Licuala triphylla, Licuala yiiana, Livistona exigua, Livistona saribus, Metroxylon sagu, Nenga gajah, Nenga pumila, Nypa fruticans, Oncosperma horridum, Oncosperma tigillarium, Orania paraguanensis, Orania sylvicola, Pholidocarpus majadum, Pinanga albescens, Pinanga angustisecta, Pinanga aristata, Pinanga arundinacea, Pinanga auriculata, Pinanga borneensis, Pinanga brevipes, Pinanga capitata, Pinanga chaiana, Pinanga crassipes, Pinanga cucullata, Pinanga decora, Pinanga dumetosa, Pinanga gracillima, Pinanga jambusana, Pinanga keahii, Pinanga lepidota, Pinanga ligulata, Pinanga limbangensis, Pinanga minuta, Pinanga mirabilis, Pinanga mooreana, Pinanga pachyphylla, Pinanga pilosa, Pinanga ridleyana, Pinanga rivularis, Pinanga rupestris, Pinanga salicifolia, Pinanga sessilifolia, Pinanga sibuyanensis, Pinanga simplicifrons, Pinanga stricta, Pinanga tenacinervis, Pinanga tenella, Pinanga tomentella, Pinanga trichoneura, Pinanga variegata, Pinanga veitchii, Pinanga yassinii, Plectocomia elongata, Plectocomia mulleri, Plectocomia pygmaea, Plectocomiopsis geminiflora, Plectocomiopsis mira, Plectocomiopsis triquetra, Salacca affinis, Salacca bakeriana, Salacca clemensiana, Salacca dolicholepis, Salacca dransfieldiana, Salacca magnifica, Salacca ramosiana, Salacca rupicola, Salacca sarawakensis, Salacca vermicularis, Salacca zalacca, Saribus rotundifolius"
"BOT"	"Hyphaene petersiana, Phoenix reclinata"
"BOU"	"NA"
"BRC"	"NA"
"BRY"	"NA"
"BUL"	"NA"
"BUR"	"Elaeis guineensis, Eremospatha haullevilleana, Hyphaene petersiana, Phoenix reclinata, Raphia ruwenzorica"
"BZC"	"Acrocomia aculeata, Acrocomia emensis, Acrocomia glaucescens, Acrocomia hassleri, Acrocomia totai, Allagoptera campestris, Allagoptera leucocalyx, Allagoptera robusta, Astrocaryum arenarium, Astrocaryum campestre, Astrocaryum echinatum, Astrocaryum huaimi, Astrocaryum vulgare, Attalea anisitsiana, Attalea apoda, Attalea barreirensis, Attalea brasiliensis, Attalea butyracea, Attalea exigua, Attalea geraensis, Attalea hoehnei, Attalea maripa, Attalea phalerata, Attalea speciosa, Bactris bidentula, Bactris brongniartii, Bactris gasipaes, Bactris glaucescens, Bactris major, Bactris maraja, Butia archeri, Butia campicola, Butia capitata, Butia exospadix, Butia lepidotispatha, Butia leptospatha, Butia matogrossensis, Butia paraguayensis, Butia purpurascens, Chamaedorea pauciflora, Copernicia alba, Desmoncus horridus, Desmoncus leptoclonos, Desmoncus mitis, Euterpe edulis, Euterpe longibracteata, Geonoma pohliana, Iriartea deltoidea, Mauritia flexuosa, Mauritiella armata, Oenocarpus bataua, Oenocarpus distichus, Syagrus allagopteroides, Syagrus caerulescens, Syagrus campylospatha, Syagrus cerqueirana, Syagrus cocoides, Syagrus comosa, Syagrus deflexa, Syagrus emasensis, Syagrus flexuosa, Syagrus glazioviana, Syagrus graminifolia, Syagrus guimaraesensis, Syagrus lilliputiana, Syagrus loefgrenii, Syagrus longipedunculata, Syagrus menzeliana, Syagrus oleracea, Syagrus pleiocladoides, Syagrus pompeoi, Syagrus procumbens, Syagrus romanzoffiana, Syagrus rupicola, Syagrus vermicularis, Trithrinax schizophylla"
"BZE"	"Acrocomia aculeata, Acrocomia intumescens, Allagoptera arenaria, Allagoptera brevicalyx, Allagoptera campestris, Allagoptera caudescens, Allagoptera leucocalyx, Astrocaryum aculeatissimum, Astrocaryum aculeatum, Astrocaryum campestre, Astrocaryum vulgare, Attalea barreirensis, Attalea brejinhoensis, Attalea burretiana, Attalea eichleri, Attalea exigua, Attalea funifera, Attalea geraensis, Attalea humilis, Attalea maripa, Attalea oleifera, Attalea pindobassu, Attalea salvadorensis, Attalea seabrensis, Attalea speciosa, Attalea vitrivir, Bactris acanthocarpa, Bactris bahiensis, Bactris brongniartii, Bactris campestris, Bactris caryotifolia, Bactris ferruginea, Bactris glassmanii, Bactris hirta, Bactris horridispatha, Bactris major, Bactris pickelii, Bactris setosa, Bactris simplicifrons, Bactris soeiroana, Bactris tomentosa, Bactris vulgaris, Butia capitata, Cocos nucifera, Copernicia prunifera, Desmoncus horridus, Desmoncus orthacanthos, Desmoncus polyacanthos, Euterpe edulis, Euterpe oleracea, Geonoma baculifera, Geonoma elegans, Geonoma leptospadix, Geonoma pauciflora, Geonoma pohliana, Mauritia flexuosa, Mauritiella armata, Oenocarpus distichus, Socratea exorrhiza, Syagrus allagopteroides, Syagrus botryophora, Syagrus cearensis, Syagrus cocoides, Syagrus comosa, Syagrus coronata, Syagrus flexuosa, Syagrus glazioviana, Syagrus harleyi, Syagrus inajai, Syagrus itapebiensis, Syagrus lorenzoniorum, Syagrus microphylla, Syagrus oleracea, Syagrus romanzoffiana, Syagrus santosii, Syagrus schizophylla, Syagrus vagans, Syagrus vermicularis, Syagrus werdermannii"
