"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Acanthophoenix crinita"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acanthophoenix rousselii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acanthophoenix rubra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acoelorrhaphe wrightii"	0.642995355385672	0.669851938782829	0.00131440299876569	1	0	0	0.692725826581489	0.573929368943341	0.00131440299876569	0.596353865832431	0.759816329457352	0.00131440299876569	0.642995355385672	0.669851938782829	0.00131440299876569	1	0	0	0.692725826581489	0.573929368943341	0.00131440299876569	0.596353865832431	0.759816329457352	0.00131440299876569
"Acrocomia aculeata"	1	0	0	1	0	0	1	0	0	0.467472694471269	0.780088971824481	0.0173147355105095	1	0	0	1	0	0	1	0	0	0.467472694471269	0.780088971824481	0.0173147355105095
"Acrocomia crispa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia emensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia glaucescens"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia hassleri"	0.650319079077	0.651192230451528	0.00163209408602199	0.656236066890073	0.639779254401008	0.00163209408602199	0.651803435038519	0.64194399775988	0.00207955560753087	0.583493349794642	0.780088971826078	0.00163209408602199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia intumescens"	0.539350603229566	0.642250862166611	0.0172584257064355	0.560023021066539	0.642250862166611	0.0144641119231828	0.539350603229566	0.642250862166611	0.0172584257064355	0.423213229376436	0.780088971825038	0.0232973367876509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia media"	0.711685681168319	0.507681737432091	0.0033941222452725	0.711685681168319	0.507681737432091	0.0033941222452725	0.676879076444601	0.507681737432091	0.00809896983952735	0.57045781220937	0.780088971824763	0.0033941222452725	0.711685681168319	0.507681737432091	0.0033941222452725	0.711685681168319	0.507681737432091	0.0033941222452725	0.676879076444601	0.507681737432091	0.00809896983952735	0.57045781220937	0.780088971824763	0.0033941222452725
"Acrocomia totai"	0.627522784177315	0.640378018533779	0.00547133996940097	0.65071443521817	0.640378018533779	0.00233649862326966	1	0	0	0.555090492693638	0.780088971826771	0.00547133996940097	0.627522784177315	0.640378018533779	0.00547133996940097	0.65071443521817	0.640378018533779	0.00233649862326966	1	0	0	0.555090492693638	0.780088971826771	0.00547133996940097
"Actinokentia divaricata"	0.667788062344179	0.633798995850236	0.000489686360265431	0.731799423008366	0.508278688258612	0.000633491817544717	0.663611788216868	0.633798995850236	0.00105419799352575	0.6537966947918	0.633798995850236	0.00238091512249774	0.667788062344179	0.633798995850236	0.000489686360265431	0.731799423008366	0.508278688258612	0.000633491817544717	0.663611788216868	0.633798995850236	0.00105419799352575	0.6537966947918	0.633798995850236	0.00238091512249774
"Actinokentia huerlimannii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Actinorhytis calapparia"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Adonidia dransfieldii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Adonidia merrillii"	0.685911009551232	0.577967191818983	0.00195260428283135	1	0	0	0.661515952465765	0.577967191818359	0.00525011136669757	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
