"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Acanthophoenix crinita"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acanthophoenix rousselii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acanthophoenix rubra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acoelorrhaphe wrightii"	0.889566020418067	0.166768417435559	0.000832546500838325	1	0	0	0.931283571543099	0.0978736848740957	0.000832546500838325	0.82529225644647	0.2729137605855	0.000832546500838325	0.889566020418067	0.166768417435559	0.000832546500838325	1	0	0	0.931283571543099	0.0978736848740957	0.000832546500838325	0.82529225644647	0.2729137605855	0.000832546500838325
"Acrocomia aculeata"	1	0	0	1	0	0	1	0	0	0.690106864147137	0.304751282550959	0.0110424881851392	1	0	0	1	0	0	1	0	0	0.690106864147137	0.304751282550959	0.0110424881851392
"Acrocomia crispa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia emensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia glaucescens"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia hassleri"	0.89715547100722	0.150459558443529	0.00103391319138214	0.902726953745034	0.141258495513395	0.00103391319138214	0.898475368647178	0.142960760300793	0.00131762681585555	0.803727822050326	0.304751282553606	0.00103391319138214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia intumescens"	0.788338837738806	0.143203666534664	0.0110063112611353	0.808694276161308	0.143203666534664	0.00921325357407431	0.788338837738806	0.143203666534664	0.0110063112611353	0.64636027068046	0.304751282551882	0.0148960119496011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acrocomia media"	0.934864877822837	0.0672268396192662	0.00215175708899654	0.934864877822837	0.0672268396192662	0.00215175708899654	0.900886739659363	0.0672268396192662	0.00514480300436666	0.791037654418971	0.304751282551426	0.00215175708899654	0.934864877822837	0.0672268396192662	0.00215175708899654	0.934864877822837	0.0672268396192662	0.00215175708899654	0.900886739659363	0.0672268396192662	0.00514480300436666	0.791037654418971	0.304751282551426	0.00215175708899654
"Acrocomia totai"	0.87476815636166	0.141727366556436	0.00347172180409707	0.89737219330457	0.141727366556436	0.00148059091524868	1	0	0	0.776052938268673	0.304751282554754	0.00347172180409707	0.87476815636166	0.141727366556436	0.00347172180409707	0.89737219330457	0.141727366556436	0.00148059091524868	1	0	0	0.776052938268673	0.304751282554754	0.00347172180409707
"Actinokentia divaricata"	0.913730646197552	0.136657134573177	0.000310059474273939	0.954598995465053	0.0674572728721263	0.000401138807315122	0.909671061646678	0.136657134573177	0.000667657730530215	0.900122504095865	0.136657134573177	0.00150876535795928	0.913730646197552	0.136657134573177	0.000310059474273939	0.954598995465053	0.0674572728721263	0.000401138807315122	0.909671061646678	0.136657134573177	0.000667657730530215	0.900122504095865	0.136657134573177	0.00150876535795928
"Actinokentia huerlimannii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Actinorhytis calapparia"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Adonidia dransfieldii"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Adonidia merrillii"	0.925332517444349	0.100116636434654	0.00123712212833832	1	0	0	0.901561707705361	0.100116636434303	0.00333103100152762	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
