"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Acanthophoenix crinita"	"NA"	"NA"	"NA___NA"
"Acanthophoenix rousselii"	"NA"	"NA"	"NA___NA"
"Acanthophoenix rubra"	"NA"	"NA"	"NA___NA"
"Acoelorrhaphe wrightii"	"LC"	"LC"	"LC___LC"
"Acrocomia aculeata"	"LC"	"LC"	"LC___LC"
"Acrocomia crispa"	"NA"	"NA"	"NA___NA"
"Acrocomia emensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Acrocomia glaucescens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Acrocomia hassleri"	"LC"	"nonLC"	"LC___nonLC"
"Acrocomia intumescens"	"LC"	"nonLC"	"LC___nonLC"
"Acrocomia media"	"LC"	"LC"	"LC___LC"
"Acrocomia totai"	"LC"	"LC"	"LC___LC"
"Actinokentia divaricata"	"LC"	"LC"	"LC___LC"
"Actinokentia huerlimannii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Actinorhytis calapparia"	"LC"	"LC"	"LC___LC"
"Adonidia dransfieldii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Adonidia merrillii"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes acanthophylla"	"LC"	"LC"	"LC___LC"
"Aiphanes acaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes argos"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes bicornis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes buenaventurae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes chiribogensis"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes concinna"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes deltoidea"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes duquei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes eggersii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes erinacea"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes gelatinosa"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes graminifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes grandis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes hirsuta"	"LC"	"LC"	"LC___LC"
"Aiphanes horrida"	"LC"	"LC"	"LC___LC"
"Aiphanes killipii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes leiostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes lindeniana"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes linearis"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes macroloba"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes minima"	"LC"	"LC"	"LC___LC"
"Aiphanes multiplex"	"NA"	"NA"	"NA___NA"
"Aiphanes parvifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes pilaris"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes simplex"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes spicata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes tricuspidata"	"LC"	"nonLC"	"LC___nonLC"
"Aiphanes truncata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes ulei"	"LC"	"LC"	"LC___LC"
"Aiphanes verrucosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Aiphanes weberbaueri"	"LC"	"LC"	"LC___LC"
"Allagoptera arenaria"	"LC"	"LC"	"LC___LC"
"Allagoptera brevicalyx"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Allagoptera campestris"	"LC"	"LC"	"LC___LC"
"Allagoptera caudescens"	"LC"	"LC"	"LC___LC"
"Allagoptera leucocalyx"	"LC"	"LC"	"LC___LC"
"Allagoptera robusta"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Ammandra decasperma"	"LC"	"nonLC"	"LC___nonLC"
"Aphandra natalia"	"LC"	"LC"	"LC___LC"
"Archontophoenix alexandrae"	"LC"	"LC"	"LC___LC"
"Archontophoenix cunninghamiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Archontophoenix maxima"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Archontophoenix myolensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Archontophoenix purpurea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Archontophoenix tuckeri"	"LC"	"nonLC"	"LC___nonLC"
"Areca abdulrahmanii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca ahmadii"	"NA"	"NA"	"NA___NA"
"Areca andersonii"	"NA"	"NA"	"NA___NA"
"Areca arundinacea"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca bakeri"	"NA"	"NA"	"NA___NA"
"Areca brachypoda"	"NA"	"NA"	"NA___NA"
"Areca caliso"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca camarinensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca catechu"	"LC"	"LC"	"LC___LC"
"Areca chaiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca churchii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca concinna"	"NA"	"NA"	"NA___NA"
"Areca congesta"	"NA"	"NA"	"NA___NA"
"Areca costulata"	"NA"	"NA"	"NA___NA"
"Areca dayung"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca dransfieldii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca furcata"	"LC"	"nonLC"	"LC___nonLC"
"Areca gurita"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca hutchinsoniana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca insignis"	"LC"	"nonLC"	"LC___nonLC"
"Areca ipot"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca jokowi"	"NA"	"NA"	"NA___NA"
"Areca jugahpunya"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca kinabaluensis"	"LC"	"nonLC"	"LC___nonLC"
"Areca klingkangensis"	"NA"	"NA"	"NA___NA"
"Areca laosensis"	"LC"	"nonLC"	"LC___nonLC"
"Areca ledermanniana"	"NA"	"NA"	"NA___NA"
"Areca macrocalyx"	"LC"	"LC"	"LC___LC"
"Areca mandacanii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca minuta"	"LC"	"LC"	"LC___LC"
"Areca mogeana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca montana"	"LC"	"nonLC"	"LC___nonLC"
"Areca novohibernica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca oxycarpa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca parens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca rheophytica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca ridleyana"	"NA"	"NA"	"NA___NA"
"Areca riparia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca songthanhensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca subacaulis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca triandra"	"LC"	"LC"	"LC___LC"
"Areca triginticollina"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca tunku"	"LC"	"nonLC"	"LC___nonLC"
"Areca unipa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Areca vestiaria"	"LC"	"LC"	"LC___LC"
"Areca vidaliana"	"LC"	"nonLC"	"LC___nonLC"
"Areca whitfordii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Arenga australasica"	"LC"	"nonLC"	"LC___nonLC"
"Arenga brevipes"	"LC"	"LC"	"LC___LC"
"Arenga caudata"	"LC"	"LC"	"LC___LC"
"Arenga distincta"	"LC"	"nonLC"	"LC___nonLC"
"Arenga engleri"	"NA"	"NA"	"NA___NA"
"Arenga hastata"	"LC"	"LC"	"LC___LC"
"Arenga hookeriana"	"LC"	"nonLC"	"LC___nonLC"
"Arenga listeri"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Arenga longicarpa"	"NA"	"NA"	"NA___NA"
"Arenga longipes"	"NA"	"NA"	"NA___NA"
"Arenga micrantha"	"NA"	"NA"	"NA___NA"
"Arenga microcarpa"	"LC"	"LC"	"LC___LC"
"Arenga mindorensis"	"NA"	"NA"	"NA___NA"
"Arenga obtusifolia"	"LC"	"nonLC"	"LC___nonLC"
"Arenga pinnata"	"LC"	"LC"	"LC___LC"
"Arenga plicata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Arenga porphyrocarpa"	"NA"	"NA"	"NA___NA"
"Arenga retroflorescens"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Arenga ryukyuensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Arenga talamauensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Arenga tremula"	"LC"	"nonLC"	"LC___nonLC"
"Arenga undulatifolia"	"LC"	"LC"	"LC___LC"
"Arenga westerhoutii"	"LC"	"LC"	"LC___LC"
"Arenga wightii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Asterogyne guianensis"	"NA"	"NA"	"NA___NA"
"Asterogyne martiana"	"LC"	"LC"	"LC___LC"
"Asterogyne ramosa"	"NA"	"NA"	"NA___NA"
"Asterogyne spicata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Asterogyne yaracuyense"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Astrocaryum acaule"	"LC"	"LC"	"LC___LC"
"Astrocaryum aculeatissimum"	"LC"	"LC"	"LC___LC"
"Astrocaryum aculeatum"	"NA"	"NA"	"NA___NA"
"Astrocaryum alatum"	"LC"	"LC"	"LC___LC"
"Astrocaryum arenarium"	"NA"	"NA"	"NA___NA"
"Astrocaryum campestre"	"LC"	"LC"	"LC___LC"
"Astrocaryum carnosum"	"nonLC"	"nonLC"	"nonLC___nonLC"
