"Species"	"Use_HUF"	"Use_HUMa"	"Use_HUMe"	"Use_HUC"
"Acanthophoenix crinita"	0	1	0	0
"Acanthophoenix rousselii"	0	0	0	0
"Acanthophoenix rubra"	1	0	1	0
"Acoelorrhaphe wrightii"	0	1	0	0
"Acrocomia aculeata"	1	1	1	0
"Acrocomia crispa"	0	1	0	0
"Acrocomia emensis"	0	0	0	0
"Acrocomia glaucescens"	0	0	0	0
"Acrocomia hassleri"	0	0	0	0
"Acrocomia intumescens"	0	0	0	0
"Acrocomia media"	0	0	0	0
"Acrocomia totai"	0	0	1	0
"Actinokentia divaricata"	0	0	0	0
"Actinokentia huerlimannii"	0	0	0	0
"Actinorhytis calapparia"	1	1	1	1
"Adonidia dransfieldii"	0	0	0	0
"Adonidia merrillii"	0	1	0	1
"Aiphanes acanthophylla"	0	0	0	0
"Aiphanes acaulis"	0	0	0	0
"Aiphanes argos"	0	0	0	0
"Aiphanes bicornis"	0	0	0	0
"Aiphanes buenaventurae"	0	0	0	0
"Aiphanes chiribogensis"	0	0	0	0
"Aiphanes concinna"	0	0	0	0
"Aiphanes deltoidea"	0	1	0	0
"Aiphanes duquei"	0	0	0	0
"Aiphanes eggersii"	0	0	0	0
"Aiphanes erinacea"	0	0	0	0
"Aiphanes gelatinosa"	0	0	0	0
"Aiphanes graminifolia"	0	0	0	0
"Aiphanes grandis"	1	0	0	0
"Aiphanes hirsuta"	0	0	0	0
"Aiphanes horrida"	1	1	1	1
"Aiphanes killipii"	0	0	0	0
"Aiphanes leiostachys"	0	0	0	0
"Aiphanes lindeniana"	0	0	0	0
"Aiphanes linearis"	1	0	0	0
"Aiphanes macroloba"	0	0	0	0
"Aiphanes minima"	1	1	1	0
"Aiphanes multiplex"	0	0	0	0
"Aiphanes parvifolia"	0	0	0	0
"Aiphanes pilaris"	0	0	0	0
"Aiphanes simplex"	0	0	0	0
"Aiphanes spicata"	0	0	0	0
"Aiphanes tricuspidata"	0	0	0	0
"Aiphanes truncata"	0	0	0	0
"Aiphanes ulei"	1	1	1	1
"Aiphanes verrucosa"	1	1	0	0
"Aiphanes weberbaueri"	1	0	0	0
"Allagoptera arenaria"	0	0	0	0
"Allagoptera brevicalyx"	0	0	0	0
"Allagoptera campestris"	0	0	0	0
"Allagoptera caudescens"	0	0	1	0
"Allagoptera leucocalyx"	1	1	0	0
"Allagoptera robusta"	0	0	0	0
"Ammandra decasperma"	1	1	1	1
"Aphandra natalia"	1	1	0	1
"Archontophoenix alexandrae"	0	0	0	0
"Archontophoenix cunninghamiana"	0	0	0	0
"Archontophoenix maxima"	0	0	0	0
"Archontophoenix myolensis"	0	0	0	0
"Archontophoenix purpurea"	0	0	0	0
"Archontophoenix tuckeri"	0	0	0	0
"Areca abdulrahmanii"	0	0	0	0
"Areca ahmadii"	0	0	0	0
"Areca andersonii"	0	0	0	0
"Areca arundinacea"	0	0	0	0
"Areca bakeri"	0	0	0	0
"Areca brachypoda"	0	0	0	0
"Areca caliso"	1	0	0	1
"Areca camarinensis"	0	0	0	0
"Areca catechu"	1	1	1	1
"Areca chaiana"	0	0	0	0
"Areca churchii"	0	0	0	0
"Areca concinna"	0	0	1	1
"Areca congesta"	0	0	0	0
"Areca costulata"	0	0	0	0
"Areca dayung"	0	0	0	0
"Areca dransfieldii"	0	0	0	0
"Areca furcata"	0	0	0	1
"Areca gurita"	0	0	0	0
"Areca hutchinsoniana"	0	0	1	0
"Areca insignis"	0	0	0	0
"Areca ipot"	0	0	0	1
"Areca jokowi"	0	0	0	1
"Areca jugahpunya"	0	0	0	0
"Areca kinabaluensis"	0	0	0	0
"Areca klingkangensis"	0	0	0	0
"Areca laosensis"	0	0	0	0
"Areca ledermanniana"	0	0	0	0
"Areca macrocalyx"	1	1	1	1
"Areca mandacanii"	0	1	0	1
"Areca minuta"	0	0	0	0
"Areca mogeana"	0	0	0	0
"Areca montana"	1	0	1	1
"Areca novohibernica"	0	0	0	1
"Areca oxycarpa"	0	0	0	0
"Areca parens"	1	0	0	0
"Areca rheophytica"	0	0	0	0
"Areca ridleyana"	0	0	0	0
"Areca riparia"	0	0	0	0
"Areca songthanhensis"	0	0	0	0
"Areca subacaulis"	0	0	0	0
"Areca triandra"	1	1	1	1
"Areca triginticollina"	0	0	0	0
"Areca tunku"	0	0	0	0
"Areca unipa"	0	0	0	1
"Areca vestiaria"	0	1	0	0
