"Continent"	"LC__RLa__PER"	"nonLC__RLa__PER"	"LC__RLa__NUM"	"nonLC__RLa__NUM"	"LC__RLro__PER"	"nonLC__RLro__PER"	"LC__RLro__NUM"	"nonLC__RLro__NUM"	"LC__RLr__PER"	"nonLC__RLr__PER"	"LC__RLr__NUM"	"nonLC__RLr__NUM"	"LC__RLa_MLp_BS__PER"	"nonLC__RLa_MLp_BS__PER"	"LC__RLa_MLp_BS__NUM"	"nonLC__RLa_MLp_BS__NUM"	"LC__RLro_MLpr_BS__PER"	"nonLC__RLro_MLpr_BS__PER"	"LC__RLro_MLpr_BS__NUM"	"nonLC__RLro_MLpr_BS__NUM"	"LC__RLr_MLpr_BS__PER"	"nonLC__RLr_MLpr_BS__PER"	"LC__RLr_MLpr_BS__NUM"	"nonLC__RLr_MLpr_BS__NUM"	"LC__RLa_MLp_WS__PER"	"nonLC__RLa_MLp_WS__PER"	"LC__RLa_MLp_WS__NUM"	"nonLC__RLa_MLp_WS__NUM"	"LC__RLro_MLpr_WS__PER"	"nonLC__RLro_MLpr_WS__PER"	"LC__RLro_MLpr_WS__NUM"	"nonLC__RLro_MLpr_WS__NUM"	"LC__RLr_MLpr_WS__PER"	"nonLC__RLr_MLpr_WS__PER"	"LC__RLr_MLpr_WS__NUM"	"nonLC__RLr_MLpr_WS__NUM"	"LC__RLro_MLpr_EG_BS__PER"	"nonLC__RLro_MLpr_EG_BS__PER"	"LC__RLro_MLpr_EG_BS__NUM"	"nonLC__RLro_MLpr_EG_BS__NUM"	"LC__RLro_MLpr_EG_WS__PER"	"nonLC__RLro_MLpr_EG_WS__PER"	"LC__RLro_MLpr_EG_WS__NUM"	"nonLC__RLro_MLpr_EG_WS__NUM"	"Category"
"1"	"A_World"	20	80	227	908	23.6016371077763	76.3983628922237	173	560	29.9212598425197	70.0787401574803	152	356	35.9810874704492	64.0189125295508	761	1354	44.4917257683215	55.5082742316785	941	1174	48.6772486772487	51.3227513227513	920	970	22.74231678487	77.25768321513	481	1634	25.9574468085106	74.0425531914894	549	1566	27.9365079365079	72.0634920634921	528	1362	41.393612608876	58.606387391124	998	1413	25.1347988386562	74.8652011613438	606	1805	"All_species"
"2"	"AfricaWAsia"	20.4166666666667	79.5833333333333	49	191	21.4912280701754	78.5087719298246	49	179	22.1719457013575	77.8280542986425	49	172	24.3445692883895	75.6554307116105	65	202	26.5917602996255	73.4082397003745	71	196	27.3076923076923	72.6923076923077	71	189	21.7228464419476	78.2771535580524	58	209	22.0973782771536	77.9026217228464	59	208	22.6923076923077	77.3076923076923	59	201	24.3986254295533	75.6013745704467	71	220	20.2749140893471	79.7250859106529	59	232	"All_species"
"3"	"Americas"	20.8530805687204	79.1469194312796	88	334	32.9787234042553	67.0212765957447	62	126	40.5660377358491	59.4339622641509	43	63	42.0103092783505	57.9896907216495	326	450	58.1185567010309	41.8814432989691	451	325	62.2478386167147	37.7521613832853	432	262	29.5103092783505	70.4896907216495	229	547	37.1134020618557	62.8865979381443	288	488	38.7608069164265	61.2391930835735	269	425	56.8265682656827	43.1734317343173	462	351	36.7773677736777	63.2226322263223	299	514	"All_species"
"4"	"EAsiaPacific"	19.0274841437632	80.9725158562368	90	383	19.5583596214511	80.4416403785489	62	255	33.1491712707182	66.8508287292818	60	121	34.5149253731343	65.4850746268657	370	702	39.0858208955224	60.9141791044776	419	653	44.5512820512821	55.4487179487179	417	519	18.0970149253731	81.9029850746269	194	878	18.8432835820896	81.1567164179104	202	870	21.3675213675214	78.6324786324786	200	736	35.5776587605203	64.4223412394797	465	842	18.9747513389441	81.0252486610559	248	1059	"All_species"
"5"	"A_World"	31.043956043956	68.956043956044	113	251	39.5	60.5	79	121	53.9007092198582	46.0992907801418	76	65	55.3977272727273	44.6022727272727	390	314	68.1818181818182	31.8181818181818	480	224	73.953488372093	26.046511627907	477	168	41.6193181818182	58.3806818181818	293	411	49.0056818181818	50.9943181818182	345	359	53.0232558139535	46.9767441860465	342	303	66.1396574440053	33.8603425559947	502	257	48.3530961791831	51.6469038208169	367	392	"Used_species"
"6"	"AfricaWAsia"	43.5897435897436	56.4102564102564	34	44	50	50	34	34	53.968253968254	46.031746031746	34	29	50.5263157894737	49.4736842105263	48	47	56.8421052631579	43.1578947368421	54	41	60	40	54	36	45.2631578947368	54.7368421052632	43	52	46.3157894736842	53.6842105263158	44	51	48.8888888888889	51.1111111111111	44	46	54	46	54	46	44	56	44	56	"Used_species"
"7"	"Americas"	27.0491803278689	72.9508196721311	33	89	50	50	19	19	55.1724137931034	44.8275862068966	16	13	61.4107883817427	38.5892116182573	148	93	85.8921161825726	14.1078838174274	207	34	87.9310344827586	12.0689655172414	204	28	52.2821576763486	47.7178423236515	126	115	69.2946058091286	30.7053941908714	167	74	70.6896551724138	29.3103448275862	164	68	85.8870967741936	14.1129032258065	213	35	69.758064516129	30.241935483871	173	75	"Used_species"
"8"	"EAsiaPacific"	28.0487804878049	71.9512195121951	46	118	27.6595744680851	72.3404255319149	26	68	53.0612244897959	46.9387755102041	26	23	52.7173913043478	47.2826086956522	194	174	59.5108695652174	40.4891304347826	219	149	67.8018575851393	32.1981424148607	219	104	33.695652173913	66.304347826087	124	244	36.4130434782609	63.5869565217391	134	234	41.4860681114551	58.5139318885449	134	189	57.1776155717762	42.8223844282238	235	176	36.4963503649635	63.5036496350365	150	261	"Used_species"
"9"	"A_World"	32.1637426900585	67.8362573099415	55	116	47.2527472527472	52.7472527472528	43	48	55.1282051282051	44.8717948717949	43	35	60	40	201	134	76.7164179104478	23.2835820895522	257	78	79.8136645962733	20.1863354037267	257	65	50.4477611940299	49.5522388059701	169	166	60.5970149253731	39.4029850746269	203	132	63.0434782608696	36.9565217391304	203	119	76.3532763532764	23.6467236467236	268	83	60.968660968661	39.031339031339	214	137	"Used_speciesF"
"10"	"AfricaWAsia"	48.8372093023256	51.1627906976744	21	22	52.5	47.5	21	19	55.2631578947368	44.7368421052632	21	17	55.7692307692308	44.2307692307692	29	23	61.5384615384615	38.4615384615385	32	20	64	36	32	18	53.8461538461538	46.1538461538462	28	24	53.8461538461538	46.1538461538462	28	24	56	44	28	22	60.377358490566	39.622641509434	32	21	52.8301886792453	47.1698113207547	28	25	"Used_speciesF"
