"LEVEL3_NAM"	"LEVEL3_COD"	"LEVEL2_COD"	"LEVEL1_COD"	"LEVEL3_SPE_HUF_B"	"LEVEL3_SPE_HUMa_B"	"LEVEL3_SPE_HUMe_B"	"LEVEL3_SPE_HUC_B"	"LEVEL3_SPE_HUA_B"	"LEVEL3_SPE_FD2_B"	"LEVEL3_SPE_ED2_B"	"LEVEL3_SPE_COM_B"	"LEVEL3_SPE_HUF_W"	"LEVEL3_SPE_HUMa_W"	"LEVEL3_SPE_HUMe_W"	"LEVEL3_SPE_HUC_W"	"LEVEL3_SPE_HUA_W"	"LEVEL3_SPE_FD2_W"	"LEVEL3_SPE_ED2_W"	"LEVEL3_SPE_COM_W"	"LEVEL3_SPE_HUF_R"	"LEVEL3_SPE_HUMa_R"	"LEVEL3_SPE_HUMe_R"	"LEVEL3_SPE_HUC_R"	"LEVEL3_SPE_HUA_R"	"LEVEL3_SPE_FD2_R"	"LEVEL3_SPE_ED2_R"	"LEVEL3_SPE_COM_R"	"LEVEL3_SPE_HUF_B2"	"LEVEL3_SPE_HUMa_B2"	"LEVEL3_SPE_HUMe_B2"	"LEVEL3_SPE_HUC_B2"	"LEVEL3_SPE_HUA_B2"	"LEVEL3_SPE_FD2_B2"	"LEVEL3_SPE_ED2_B2"	"LEVEL3_SPE_COM_B2"	"LEVEL3_SPE_HUF_W2"	"LEVEL3_SPE_HUMa_W2"	"LEVEL3_SPE_HUMe_W2"	"LEVEL3_SPE_HUC_W2"	"LEVEL3_SPE_HUA_W2"	"LEVEL3_SPE_FD2_W2"	"LEVEL3_SPE_ED2_W2"	"LEVEL3_SPE_COM_W2"	"LEVEL3_SPE_HUF_R2"	"LEVEL3_SPE_HUMa_R2"	"LEVEL3_SPE_HUMe_R2"	"LEVEL3_SPE_HUC_R2"	"LEVEL3_SPE_HUA_R2"	"LEVEL3_SPE_FD2_R2"	"LEVEL3_SPE_ED2_R2"	"LEVEL3_SPE_COM_R2"	"LEVEL3_SPE_GAP_RL"	"LEVEL3_SPE_GAP_RLML"	"LEVEL3_SPE_speNum"	"LEVEL3_SPE_speNumCat"
"Alberta"	"ABT"	71	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Afghanistan"	"AFG"	34	3	0	0	0	0	0	0	0	0	0	0	50	0	50	50	50	50	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"40_60"	"40_60"	"40_60"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	2	"1-10"
"Argentina Northeast"	"AGE"	85	8	33.3333333333333	0	0	NA	14.2857142857143	0	0	10	33.3333333333333	0	0	NA	14.2857142857143	0	12.5	20	33.3333333333333	0	0	NA	14.2857142857143	0	0	10	"20_40"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	10	1	12	"11-50"
"Argentina South"	"AGS"	85	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Argentina Northwest"	"AGW"	85	8	NA	NA	0	NA	0	NA	0	0	NA	NA	0	NA	0	NA	33.3333333333333	33.3333333333333	NA	NA	0	NA	0	NA	0	0	"NOC"	"NOC"	"0_20"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"NOC"	"0_20"	"NOC"	"0_20"	"NOC"	"20_40"	"20_40"	"NOC"	"NOC"	"0_20"	"NOC"	"0_20"	"NOC"	"0_20"	"0_20"	3	0	3	"1-10"
"Alabama"	"ALA"	78	7	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	4	0	4	"1-10"
"Albania"	"ALB"	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aldabra"	"ALD"	29	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Algeria"	"ALG"	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	4	"1-10"
"Altay"	"ALT"	30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
