LEVEL3_NAM	LEVEL3_COD	LEVEL2_COD	LEVEL1_COD	LEVEL3_SPE_HUF_B	LEVEL3_SPE_HUMa_B	LEVEL3_SPE_HUMe_B	LEVEL3_SPE_HUC_B	LEVEL3_SPE_HUA_B	LEVEL3_SPE_FD2_B	LEVEL3_SPE_ED2_B	LEVEL3_SPE_COM_B	LEVEL3_SPE_HUF_W	LEVEL3_SPE_HUMa_W	LEVEL3_SPE_HUMe_W	LEVEL3_SPE_HUC_W	LEVEL3_SPE_HUA_W	LEVEL3_SPE_FD2_W	LEVEL3_SPE_ED2_W	LEVEL3_SPE_COM_W	LEVEL3_SPE_HUF_R	LEVEL3_SPE_HUMa_R	LEVEL3_SPE_HUMe_R	LEVEL3_SPE_HUC_R	LEVEL3_SPE_HUA_R	LEVEL3_SPE_FD2_R	LEVEL3_SPE_ED2_R	LEVEL3_SPE_COM_R	LEVEL3_SPE_HUF_B2	LEVEL3_SPE_HUMa_B2	LEVEL3_SPE_HUMe_B2	LEVEL3_SPE_HUC_B2	LEVEL3_SPE_HUA_B2	LEVEL3_SPE_FD2_B2	LEVEL3_SPE_ED2_B2	LEVEL3_SPE_COM_B2	LEVEL3_SPE_HUF_W2	LEVEL3_SPE_HUMa_W2	LEVEL3_SPE_HUMe_W2	LEVEL3_SPE_HUC_W2	LEVEL3_SPE_HUA_W2	LEVEL3_SPE_FD2_W2	LEVEL3_SPE_ED2_W2	LEVEL3_SPE_COM_W2	LEVEL3_SPE_HUF_R2	LEVEL3_SPE_HUMa_R2	LEVEL3_SPE_HUMe_R2	LEVEL3_SPE_HUC_R2	LEVEL3_SPE_HUA_R2	LEVEL3_SPE_FD2_R2	LEVEL3_SPE_ED2_R2	LEVEL3_SPE_COM_R2	LEVEL3_SPE_GAP_RL	LEVEL3_SPE_GAP_RLML	LEVEL3_SPE_speNum	LEVEL3_SPE_speNumCat	Continent
Albania	ALB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Austria	AUT	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Baleares	BAL	12	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0	0	1	1-10	AfricaWAsia
Belgium	BGM	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Belarus	BLR	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Baltic States	BLT	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Bulgaria	BUL	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Corse	COR	12	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0	0	1	1-10	AfricaWAsia
Czechoslovakia	CZE	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Denmark	DEN	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
