used_accepted_name	n
Calamus maiadum	1
Kentiopsis magnifica	1
Kentiopsis piersoniorum	1
Kentiopsis pyriformis	1
Iguanura asli	1
Iguanura kelantanensis	1
Iguanura piahensis	1
Iguanura humilis	1
Iguanura belumensis	1
Iguanura perdana	1
Iguanura mirabilis	1
Pritchardia perlmanii	1
Pinanga watanaiana	1
Burretiokentia dumasii	1
Burretiokentia grandiflora	1
Burretiokentia koghiensis	1
Pinanga jamariensis	1
Pinanga johorensis	1
Pinanga palustris	1
Pinanga pantiensis	1
Calamus occidentalis	1
Livistona lanuginosa	1
Livistona nitida	1
Livistona fulva	1
Attalea lauromuelleriana	1
Balaka streptostachys	1
Livistona alfredii	1
Physokentia petiolata	1
Attalea seabrensis	1
Attalea salvadorensis	1
Attalea brasiliensis	1
Brahea sarukhanii	1
Bactris ana-juliae	1
Bactris herrerana	1
Calamus mogeae	1
Livistona halongensis	1
Bactris glassmanii	1
Bactris horridispatha	1
Bactris soeiroana	1
Calamus laoensis	1
Calamus bimanifer	1
Calyptrocalyx amoenus	1
Calyptrocalyx arfakianus	1
Calyptrocalyx awa	1
Calyptrocalyx caudiculatus	1
Calyptrocalyx flabellatus	1
Calyptrocalyx geonomiformis	1
Calyptrocalyx hollrungii	1
Calyptrocalyx julianettii	1
Calyptrocalyx lepidotus	1
Calyptrocalyx merrillianus	1
Calyptrocalyx micholitzii	1
Calyptrocalyx multifidus	1
Calyptrocalyx pusillus	1
Calyptrocalyx yamutumene	1
Dictyocaryum fuscum	1
Geonoma concinna	1
Geonoma divisa	1
Geonoma frontinensis	1
Geonoma spinescens	1
Geonoma tenuissima	1
Hemithrinax compacta	1
Hyospathe wendlandiana	1
Jubaea chilensis	1
Caryota alberti	1
Linospadix minor	1
Pholidostachys kalbreyeri	1
Phytelephas tumacana	1
Heterospathe califrons	1
Calamus modestus	1
Calyptrocalyx forbesii	1
Calyptrocalyx doxanthus	1
Calyptrocalyx sessiliflorus	1
Livistona concinna	1
Dypsis carlsmithii	1
Calamus wuliangshanensis	1
Calamus temii	1
Livistona endauensis	1
Calamus essigii	1
Calamus maturbongsii	1
Attalea amylacea	1
Attalea bassleriana	1
Attalea brejinhoensis	1
Attalea camopiensis	1
Attalea degranvillei	1
Attalea fairchildensis	1
Attalea guacuyule	1
Attalea guianensis	1
Attalea huebneri	1
Attalea kewensis	1
Attalea magdalenica	1
Attalea maripensis	1
Attalea peruviana	1
Attalea salazarii	1
Attalea weberbaueri	1
Attalea wesselsboeri	1
Calamus bankae	1
Calamus wanggaii	1
Pinanga arinasae	1
Eremospatha barendii	1
Dypsis turkii	1
Pinanga purpurea	1
Pseudophoenix ekmanii	1
Roystonea altissima	1
Roystonea princeps	1
Roystonea violacea	1
Sabal etonia	1
Syagrus campestris	1
Syagrus cardenasii	1
Syagrus duartei	1
Syagrus glaucescens	1
Syagrus harleyi	1
Syagrus insignis	1
Syagrus mendanhensis	1
Syagrus microphylla	1
Syagrus petraea	1
Syagrus pleioclada	1
Syagrus pseudococos	1
Syagrus ruschiana	1
Syagrus stenopetala	1
Syagrus weddelliana	1
Syagrus werdermannii	1
Astrocaryum echinatum	1
Astrocaryum huicungo	1
Astrocaryum sociale	1
Attalea hoehnei	1
Attalea pindobassu	1
Attalea septuagenata	1
Attalea spectabilis	1
Wettinia castanea	1
Wettinia hirsuta	1
Aiphanes acaulis	1
Aiphanes chiribogensis	1
Aiphanes grandis	1
Asterogyne guianensis	1
Asterogyne yaracuyense	1
Astrocaryum malybo	1
Astrocaryum triandrum	1
Calyptrogyne anomala	1
Chamaedorea correae	1
Chamaedorea crucensis	1
Chamaedorea guntheriana	1
Chamaedorea nationsiana	1
Chamaedorea pedunculata	1
Chamaedorea queroana	1
Chamaedorea rhizomatosa	1
Chamaedorea serpens	1
Chamaedorea smithii	1
Chamaedorea undulatifolia	1
Chamaedorea verapazensis	1
Chamaedorea volcanensis	1
Chamaedorea zamorae	1
Coccothrinax fagildei	1
Coccothrinax trinitensis	1
Desmoncus stans	1
Geonoma chlamydostachys	1
Geonoma scoparia	1
Hemithrinax ekmaniana	1
Hemithrinax rivularis	1
Hyospathe macrorhachis	1
Prestoea simplicifolia	1
Reinhardtia paiewonskiana	1
Bactris cubensis	1
Sabal bermudana	1
Bactris longiseta	1
Bactris setiflora	1
Wettinia longipetala	1
Aiphanes verrucosa	1
Metroxylon paulcoxii	1
Chamaedorea verecunda	1
Chamaedorea recurvata	1
Ceroxylon sasaimae	1
Cryosophila grayumii	1
Chamaedorea plumosa	1
Ceroxylon amazonicum	1
Coccothrinax pumila	1
Geonoma mooreana	1
Chamaedorea benziei	1
Sabal gretherae	1
Syagrus yungasensis	1
Copernicia hospita	1
Calyptrogyne pubescens	1
Calyptrogyne kunorum	1
Wettinia panamensis	1
Allagoptera brevicalyx	1
Chamaedorea hooperiana	1
Euterpe luminosa	1
Wettinia lanata	1
Wettinia minima	1
Cryosophila bartlettii	1
Chamaedorea frondosa	1
Wettinia aequatorialis	1
Chamaedorea moliniana	1
Cryosophila macrocarpa	1
Ceroxylon parvum	1
Parajubaea sunkha	1
Chamaedorea binderi	1
Bactris jamaicana	1
Chamaedorea christinae	1
Coccothrinax boschiana	1
Geonoma hugonis	1
Aiphanes spicata	1
Bactris polystachya	1
Calyptrogyne herrerae	1
Chamaedorea hodelii	1
Geonoma brenesii	1
Attalea nucifera	1
Attalea oleifera	1
Attalea compta	1
Caryota zebrina	1
Hydriastele rheophytica	1
Licuala crassiflora	1
Licuala taynguyensis	1
Aiphanes pilaris	1
Calamus thysanolepis	1
Acrocomia crispa	1
Brahea brandegeei	1
Brahea decumbens	1
Brahea moorei	1
Brahea pimo	1
Butia eriospatha	1
Calyptrogyne trichostachys	1
Coccothrinax miraguama	1
Chamaedorea alternans	1
Chamaedorea atrovirens	1
Chamaedorea carchensis	1
Chamaedorea falcifera	1
Chamaedorea glaucifolia	1
Chamaedorea klotzschiana	1
Chamaedorea lehmannii	1
Chamaedorea microphylla	1
Chamaedorea pachecoana	1
Chamaedorea parvifolia	1
Chamaedorea radicalis	1
Chamaedorea rigida	1
Chamaedorea skutchii	1
Chamaedorea tenerrima	1
Chelyocarpus dianeurus	1
Aiphanes graminifolia	1
Bactris rostrata	1
Geonoma santanderensis	1
Chamaedorea ricardoi	1
Syagrus cearensis	1
Dypsis albofarinosa	1
Pritchardia flynnii	1
Hyospathe peruviana	1
Iguanura cemurung	1
Rhopaloblaste gideonii	1
Hydriastele aprica	1
Hydriastele beguinii	1
Hydriastele boumae	1
Hydriastele dransfieldii	1
Hydriastele flabellata	1
Hydriastele gibbsiana	1
Hydriastele hombronii	1
Hydriastele kjellbergii	1
Hydriastele ledermanniana	1
Hydriastele longispatha	1
Hydriastele lurida	1
Hydriastele macrospadix	1
Hydriastele manusii	1
Hydriastele microcarpa	1
Hydriastele moluccana	1
Hydriastele montana	1
Hydriastele nannostachys	1
Hydriastele oxypetala	1
Hydriastele palauensis	1
Hydriastele pinangoides	1
Hydriastele procera	1
Hydriastele ramsayi	1
Hydriastele sarasinorum	1
Hydriastele selebica	1
Hydriastele vitiensis	1
Calamus suaveolens	1
Licuala longispadix	1
Calyptrogyne tutensis	1
Calyptrogyne fortunensis	1
Calyptrogyne sanblasensis	1
Calyptrogyne baudensis	1
Calyptrogyne deneversii	1
Calyptrogyne coloradensis	1
Calyptrogyne panamensis	1
Calyptrogyne osensis	1
Dypsis robusta	1
