published_name	accepted_name	used_accepted_name
Acanthococos emensis	Acrocomia emensis	Acrocomia emensis
Acanthococos hassleri	Acrocomia hassleri	Acrocomia hassleri
Acanthococos sericea	Acrocomia hassleri	Acrocomia hassleri
Acanthophoenix crinita	Acanthophoenix crinita	Acanthophoenix crinita
Acanthophoenix grandis	Calamus grandis	Calamus grandis
Acanthophoenix rousselii	Acanthophoenix rousselii	Acanthophoenix rousselii
Acanthophoenix rubra	Acanthophoenix rubra	Acanthophoenix rubra
Acanthorhiza aculeata	Cryosophila nana	Cryosophila nana
Acanthorhiza arborea	Thrinax arborea	NA
Acanthorhiza argentea	Coccothrinax argentea	Coccothrinax argentea
Acanthorhiza chuco	Chelyocarpus chuco	Chelyocarpus chuco
Acanthorhiza collinsii	Cryosophila stauracantha	Cryosophila stauracantha
Acanthorhiza kalbreyeri	Cryosophila kalbreyeri	Cryosophila kalbreyeri
Acanthorhiza mocinoi	Cryosophila nana	Cryosophila nana
Acanthorhiza stauracantha	Cryosophila stauracantha	Cryosophila stauracantha
Acanthorhiza wallisii	Unplaced Unplaced	NA
Acanthorhiza warscewiczii	Cryosophila warscewiczii	Cryosophila warscewiczii
Acanthosabal caespitosa	Acoelorrhaphe wrightii	Acoelorrhaphe wrightii
Acoelorrhaphe arborescens	Acoelorrhaphe wrightii	Acoelorrhaphe wrightii
Acoelorrhaphe cookii	Brahea salvadorensis	Brahea salvadorensis
Acoelorrhaphe pimo	Brahea pimo	Brahea pimo
Acoelorrhaphe pinetorum	Acoelorrhaphe wrightii	Acoelorrhaphe wrightii
Acoelorrhaphe salvadorensis	Brahea salvadorensis	Brahea salvadorensis
Acoelorrhaphe schippii	Brahea dulcis	Brahea dulcis
Acoelorrhaphe wrightii	Acoelorrhaphe wrightii	Acoelorrhaphe wrightii
Acrista monticola	Prestoea acuminata	Prestoea acuminata
Acrocomia aculeata	Acrocomia aculeata	Acrocomia aculeata
Acrocomia antiguana	Acrocomia aculeata	Acrocomia aculeata
Acrocomia antioquiensis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia armentalis	Acrocomia crispa	Acrocomia crispa
Acrocomia belizensis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia christopherensis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia chunta	Acrocomia aculeata	Acrocomia aculeata
Acrocomia crispa	Acrocomia crispa	Acrocomia crispa
Acrocomia cubensis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia emensis	Acrocomia emensis	Acrocomia emensis
Acrocomia erioacantha	Acrocomia aculeata	Acrocomia aculeata
Acrocomia fusiformis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia glaucescens	Acrocomia glaucescens	Acrocomia glaucescens
Acrocomia glaucophylla	Acrocomia aculeata	Acrocomia aculeata
Acrocomia globosa	Acrocomia aculeata	Acrocomia aculeata
Acrocomia grenadana	Acrocomia aculeata	Acrocomia aculeata
Acrocomia guianensis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia hassleri	Acrocomia hassleri	Acrocomia hassleri
Acrocomia horrida	Acrocomia aculeata	Acrocomia aculeata
Acrocomia hospes	Acrocomia aculeata	Acrocomia aculeata
Acrocomia ierensis	Acrocomia aculeata	Acrocomia aculeata
Acrocomia intumescens	Acrocomia intumescens	Acrocomia intumescens
Acrocomia karukerana	Acrocomia aculeata	Acrocomia aculeata
Acrocomia lasiospatha	Acrocomia aculeata	Acrocomia aculeata
