"taxa"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"
"Acoelorrhaphe wrightii"	293713	64	17	12	13	293713	"17"	"595697.635705517"	"294139.72316295"	"68"	"LC"	"EN"	"294139.72316295"
"Acrocomia aculeata"	8903890	52	14	12	13	8903890	"14"	"28620581.4043587"	"8311322.88521555"	"52"	"LC"	"EN"	"8311322.88521555"
"Acrocomia emensis"	370014	20	5	5	5	370014	"5"	"690713.07600166"	"363524.041779703"	"20"	"LC"	"EN"	"363524.041779703"
"Acrocomia glaucescens"	21876	16	6	4	4	21876	"6"	"123320.582805026"	"22361.2105087349"	"16"	"NT"	"EN"	"22361.2105087349"
"Acrocomia hassleri"	1221170	76	28	15	16	1221170	"28"	"2270994.17030598"	"1222969.57723389"	"80"	"LC"	"EN"	"1222969.57723389"
"Acrocomia intumescens"	662365	36	9	9	9	662365	"9"	"1902796.43883225"	"643669.459834801"	"36"	"LC"	"EN"	"643669.459834801"
"Acrocomia totai"	2202730	56	14	13	13	2202730	"14"	"4244133.39210377"	"2171030.99592483"	"56"	"LC"	"EN"	"2171030.99592483"
"Actinokentia divaricata"	4167	100	32	11	18	4167	"32"	"17051.7102480162"	"4150.03153770552"	"100"	"EN"	"EN"	"4150.03153770552"
"Actinokentia huerlimannii"	10	8	4	2	2	10	"4"	"47.9735134114078"	"9.97586845537426"	"8"	"CR"	"CR"	"9.97586845537426"
"Actinorhytis calapparia"	645614	56	16	14	14	645614	"16"	"1596715.4098835"	"647217.700362143"	"60"	"LC"	"EN"	"647217.700362143"
"Adonidia dransfieldii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Adonidia merrillii"	197064	12	3	3	3	197064	"3"	"2018730.36321882"	"183896.735481535"	"12"	"LC"	"EN"	"183896.735481535"
"Aiphanes acaulis"	4113	20	5	3	3	4113	"5"	"26102.497583622"	"4119.5531563086"	"20"	"EN"	"EN"	"4119.5531563086"
"Aiphanes bicornis"	8	8	3	1	1	0	"3"	"16.0443191977227"	"0.0588528803706393"	"8"	"CR"	"CR"	"0.0588528803706393"
"Aiphanes buenaventurae"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Aiphanes chiribogensis"	4213	60	27	7	10	4213	"27"	"8606.67671262549"	"4212.58405223245"	"60"	"EN"	"EN"	"4212.58405223245"
"Aiphanes concinna"	72467	44	12	8	9	72467	"12"	"241972.838123134"	"72501.3993286784"	"48"	"LC"	"EN"	"72501.3993286784"
"Aiphanes deltoidea"	63877	48	15	9	11	63877	"15"	"109292.683265184"	"63918.6136152754"	"56"	"LC"	"EN"	"63918.6136152754"
"Aiphanes duquei"	NA	8	2	2	2	12	"2"	"7.8716462149632"	"0"	"8"	"CR"	"CR"	"12"
"Aiphanes eggersii"	13908	28	12	7	7	13908	"12"	"30490.6504593388"	"13898.3308592379"	"32"	"VU"	"EN"	"13898.3308592379"
"Aiphanes erinacea"	24533	136	59	16	23	24533	"59"	"39341.4057977889"	"24531.6938574647"	"140"	"NT"	"EN"	"24531.6938574647"
"Aiphanes gelatinosa"	8	8	4	2	2	2	"4"	"815.711268957212"	"2.41874170273149"	"8"	"CR"	"CR"	"2.41874170273149"
"Aiphanes graminifolia"	NA	4	2	1	1	0	"2"	"1.52923582652802"	"0"	"8"	"CR"	"CR"	"0"
"Aiphanes grandis"	1975	28	15	4	5	1975	"15"	"79357.9198137846"	"1985.72565597658"	"24"	"EN"	"EN"	"1985.72565597658"
"Aiphanes hirsuta"	548048	264	89	42	49	548048	"89"	"1102933.29162426"	"549846.618321424"	"272"	"LC"	"EN"	"549846.618321424"
"Aiphanes horrida"	4571615	412	133	78	87	4571615	"133"	"10805253.1034372"	"4714204.10323872"	"440"	"LC"	"EN"	"4714204.10323872"
"Aiphanes killipii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Aiphanes leiostachys"	NA	4	2	1	1	0	"2"	"0.481683087779983"	"0"	"8"	"CR"	"CR"	"0"
"Aiphanes lindeniana"	82329	84	24	15	17	82329	"24"	"201882.92009871"	"82312.0591615872"	"92"	"LC"	"EN"	"82312.0591615872"
"Aiphanes linearis"	115189	44	14	11	10	115189	"14"	"271219.30529874"	"115321.92683608"	"48"	"LC"	"EN"	"115321.92683608"
"Aiphanes macroloba"	56244	56	20	8	9	56244	"20"	"165978.920136542"	"56197.0955964913"	"56"	"LC"	"EN"	"56197.0955964913"
"Aiphanes minima"	582	12	3	2	2	582	"3"	"176639.422258061"	"635.81973167984"	"12"	"EN"	"EN"	"635.81973167984"
"Aiphanes parvifolia"	13489	40	10	7	8	13489	"10"	"26409.0965871563"	"13463.2677216316"	"40"	"VU"	"EN"	"13463.2677216316"
"Aiphanes pilaris"	NA	4	2	1	1	0	"2"	"0.136714766156642"	"0"	"8"	"CR"	"CR"	"0"
"Aiphanes simplex"	91574	160	48	14	26	91574	"48"	"193164.807606301"	"91741.0761529779"	"156"	"LC"	"EN"	"91741.0761529779"
"Aiphanes spicata"	3491	20	5	5	5	3491	"5"	"6699.79996823397"	"3489.53565193871"	"20"	"EN"	"EN"	"3489.53565193871"
"Aiphanes tricuspidata"	80503	80	30	16	18	80503	"30"	"260475.204796242"	"80482.299938781"	"80"	"LC"	"EN"	"80482.299938781"
"Aiphanes truncata"	2579	32	10	5	5	2579	"10"	"7215.5285476569"	"2583.20961884189"	"32"	"EN"	"EN"	"2583.20961884189"
"Aiphanes ulei"	713381	412	157	74	83	713381	"157"	"1233881.76231611"	"711812.74283175"	"444"	"LC"	"EN"	"711812.74283175"
"Aiphanes verrucosa"	501	24	13	3	4	501	"13"	"786.668300082377"	"500.509143894063"	"36"	"EN"	"EN"	"500.509143894063"
"Aiphanes weberbaueri"	675566	172	51	36	40	675566	"51"	"1086325.51699988"	"675070.926001309"	"180"	"LC"	"EN"	"675070.926001309"
"Allagoptera arenaria"	1870440	296	78	59	66	1870440	"78"	"3352232.55836753"	"1881402.835403"	"300"	"LC"	"EN"	"1881402.835403"
"Allagoptera brevicalyx"	392593	120	33	22	24	392593	"33"	"2237798.87733806"	"391101.12315969"	"132"	"LC"	"EN"	"391101.12315969"
"Allagoptera campestris"	3175271	848	261	136	168	3175271	"261"	"5084359.821129"	"3178466.13271105"	"856"	"LC"	"VU"	"3178466.13271105"
"Allagoptera caudescens"	167549	236	64	49	53	167549	"64"	"928363.303203641"	"170696.653218889"	"244"	"LC"	"EN"	"170696.653218889"
"Allagoptera leucocalyx"	3849486	348	99	71	78	3849486	"99"	"6608762.29720296"	"3842305.16748802"	"344"	"LC"	"EN"	"3842305.16748802"
"Allagoptera robusta"	NA	8	2	2	2	11	"2"	"52.5189956085909"	"0"	"8"	"CR"	"CR"	"11"
"Ammandra decasperma"	193383	104	40	17	18	193383	"40"	"286099.173626471"	"193540.704754576"	"112"	"LC"	"EN"	"193540.704754576"
"Aphandra natalia"	243669	236	92	25	32	243669	"92"	"575275.083673269"	"244396.992015298"	"248"	"LC"	"EN"	"244396.992015298"
"Archontophoenix alexandrae"	784520	320	86	49	66	784520	"86"	"40353957.2528686"	"10248078.7493109"	"312"	"LC"	"EN"	"10248078.7493109"
